item,value,unit,source_title,source_url,page,year,notes
feni.normal_rain_sep,324.8,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
feni.normal_rain_oct,200.2,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
feni.normal_rain_nov,52.9,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
feni.normal_rain_dec,9.9,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_jan,9.4,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_feb,36.2,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_mar,155.3,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_apr,375.6,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_may,569.6,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_jun,818.4,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_jul,819.2,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_aug,612.6,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_sep,535.9,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_oct,223.9,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_nov,30.4,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
sylhet.normal_rain_dec,9.4,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
